"year","state_abbr","state_name","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","rape"
1982,"OH","Ohio",10791000,47126,676,19809,23418,485468,141316,302962,41190,3223
1982,"OK","Oklahoma",3177000,14103,344,4218,8361,151814,50956,85326,15532,1180
1982,"OR","Oregon",2649000,12529,136,4433,6903,161444,47410,106061,7973,1057
1982,"PA","Pennsylvania",11865000,42767,678,20806,18835,366903,106867,220623,39413,2448
1982,"RI","Rhode Island",958000,3849,35,1099,2529,47539,13414,27077,7048,186
1982,"SC","South Carolina",3203000,23061,348,3921,17550,148657,47752,92009,8896,1242
1982,"SD","South Dakota",691000,684,19,118,468,17592,3885,12889,818,79
1982,"TN","Tennessee",4651000,19586,452,8173,9310,185692,59934,110316,15442,1651
1982,"TX","Texas",15280000,88178,2466,33618,45278,874799,285967,501727,87105,6816
1982,"UT","Utah",1554000,4440,53,1344,2674,78451,17202,57341,3908,369
1982,"VA","Virginia",5491000,16970,405,6708,8491,216713,53457,153148,10108,1366
1982,"VT","Vermont",516000,655,12,119,344,23555,6080,16160,1315,180
1982,"WA","Washington",4245000,17251,185,5003,10116,249429,71322,166188,11919,1947
1982,"WI","Wisconsin",4765000,9077,148,3393,4856,202447,46564,147177,8706,680
1982,"WV","West Virginia",1948000,3405,102,970,2031,45514,13985,27962,3567,302
1982,"WY","Wyoming",502000,1527,46,172,1173,22589,4432,16903,1254,136
1983,"AK","Alaska",479000,2940,66,465,1923,25889,5720,17085,3084,486
1983,"AL","Alabama",3959000,16471,364,3895,11281,145890,42485,94279,9126,931
1983,"AR","Arkansas",2328000,6930,178,1614,4552,74563,22380,48140,4043,586
1983,"AZ","Arizona",2963000,14642,213,3923,9265,174740,49440,114721,10579,1241
1983,"CA","California",25174000,194491,2639,85826,93933,1486487,460460,867123,158904,12093
1983,"CO","Colorado",3139000,14955,202,3968,9469,193070,48101,133271,11698,1316
1983,"CT","Connecticut",3138000,11767,129,6296,4715,144437,39988,89421,15028,627
1983,"DC","District of Columbia",623000,11933,183,7698,3646,45843,12483,29405,3955,406
1983,"DE","Delaware",606000,2746,25,699,1793,30378,7414,20908,2056,229
1983,"FL","Florida",10680000,88292,1199,28126,53797,635934,191902,400796,43236,5170
1983,"GA","Georgia",5732000,26179,483,8267,15408,232062,72614,143398,16050,2021
1983,"HI","Hawaii",1023000,2579,57,1330,891,56853,13636,38920,4297,301
1983,"IA","Iowa",2905000,5262,68,1192,3637,108587,26599,77402,4586,365
1983,"ID","Idaho",989000,2361,35,270,1875,35872,9206,24979,1687,181
1983,"IL","Illinois",11486000,83629,1112,36625,42273,552857,148445,339061,65351,3619
1983,"IN","Indiana",5479000,15547,286,5474,8278,210725,54147,138929,17649,1509
1983,"KS","Kansas",2425000,7919,137,2038,5117,101928,28318,68735,4875,627
1983,"KY","Kentucky",3714000,11967,364,3236,7550,115602,36286,71322,7994,817
1983,"LA","Louisiana",4438000,28444,629,8433,17612,194636,57359,123492,13785,1770
